,timestamp,model,example_length,target,prediction,correct
0,142517,CBOW,4,2,2,1
1,142517,CBOW,21,3,3,1
2,142517,CBOW,23,4,3,0
3,142517,CBOW,26,2,3,0
4,142517,CBOW,9,4,4,1
5,142517,CBOW,20,3,2,0
6,142517,CBOW,22,3,2,0
7,142517,CBOW,7,3,4,0
8,142517,CBOW,14,3,4,0
9,142517,CBOW,15,4,3,0
10,142517,CBOW,13,3,3,1
11,142517,CBOW,24,3,3,1
12,142517,CBOW,10,4,4,1
13,142517,CBOW,12,2,1,0
14,142517,CBOW,24,3,1,0
15,142517,CBOW,6,2,2,1
16,142517,CBOW,8,4,4,1
17,142517,CBOW,17,3,3,1
18,142517,CBOW,11,4,3,0
19,142517,CBOW,9,4,4,1
20,142517,CBOW,37,4,3,0
21,142517,CBOW,16,2,0,0
22,142517,CBOW,23,3,3,1
23,142517,CBOW,16,3,1,0
24,142517,CBOW,9,3,2,0
25,142517,CBOW,14,3,3,1
26,142517,CBOW,19,3,1,0
27,142517,CBOW,23,1,1,1
28,142517,CBOW,22,3,1,0
29,142517,CBOW,13,4,2,0
30,142517,CBOW,20,4,4,1
31,142517,CBOW,6,2,3,0
32,142517,CBOW,29,3,1,0
33,142517,CBOW,33,3,1,0
34,142517,CBOW,17,1,2,0
35,142517,CBOW,18,3,3,1
36,142517,CBOW,13,3,3,1
37,142517,CBOW,42,3,4,0
38,142517,CBOW,22,1,3,0
39,142517,CBOW,14,2,1,0
40,142517,CBOW,20,4,2,0
41,142517,CBOW,22,0,1,0
42,142517,CBOW,14,4,3,0
43,142517,CBOW,16,4,4,1
44,142517,CBOW,18,3,3,1
45,142517,CBOW,29,2,2,1
46,142517,CBOW,13,4,3,0
47,142517,CBOW,24,3,4,0
48,142517,CBOW,8,4,2,0
49,142517,CBOW,38,3,0,0
50,142517,CBOW,9,3,3,1
51,142517,CBOW,13,3,0,0
52,142517,CBOW,20,3,2,0
53,142517,CBOW,11,4,3,0
54,142517,CBOW,22,3,3,1
55,142517,CBOW,24,3,3,1
56,142517,CBOW,21,3,3,1
57,142517,CBOW,15,2,3,0
58,142517,CBOW,12,3,4,0
59,142517,CBOW,14,3,1,0
60,142517,CBOW,23,2,2,1
61,142517,CBOW,20,3,3,1
62,142517,CBOW,12,3,3,1
63,142517,CBOW,25,2,3,0
64,142517,CBOW,23,1,2,0
65,142517,CBOW,25,3,3,1
66,142517,CBOW,7,4,4,1
67,142517,CBOW,26,4,4,1
68,142517,CBOW,19,4,3,0
69,142517,CBOW,20,4,4,1
70,142517,CBOW,24,2,3,0
71,142517,CBOW,4,4,4,1
72,142517,CBOW,8,4,3,0
73,142517,CBOW,23,4,1,0
74,142517,CBOW,11,3,3,1
75,142517,CBOW,22,1,2,0
76,142517,CBOW,24,4,1,0
77,142517,CBOW,27,3,4,0
78,142517,CBOW,24,3,4,0
79,142517,CBOW,17,2,3,0
80,142517,CBOW,19,3,3,1
81,142517,CBOW,15,4,3,0
82,142517,CBOW,19,3,3,1
83,142517,CBOW,31,3,4,0
84,142517,CBOW,23,4,0,0
85,142517,CBOW,20,4,4,1
86,142517,CBOW,40,4,4,1
87,142517,CBOW,9,4,3,0
88,142517,CBOW,37,3,3,1
89,142517,CBOW,21,3,3,1
90,142517,CBOW,34,1,1,1
91,142517,CBOW,16,3,4,0
92,142517,CBOW,22,0,1,0
93,142517,CBOW,18,3,1,0
94,142517,CBOW,22,3,1,0
95,142517,CBOW,7,4,4,1
96,142517,CBOW,24,2,1,0
97,142517,CBOW,14,4,0,0
98,142517,CBOW,13,3,3,1
99,142517,CBOW,26,4,4,1
100,142517,CBOW,35,3,3,1
101,142517,CBOW,24,3,3,1
102,142517,CBOW,18,4,0,0
103,142517,CBOW,14,3,1,0
104,142517,CBOW,27,3,3,1
105,142517,CBOW,22,4,3,0
106,142517,CBOW,33,3,3,1
107,142517,CBOW,11,4,4,1
108,142517,CBOW,36,3,3,1
109,142517,CBOW,10,3,4,0
110,142517,CBOW,29,2,3,0
111,142517,CBOW,15,2,3,0
112,142517,CBOW,22,4,1,0
113,142517,CBOW,35,3,4,0
114,142517,CBOW,6,2,3,0
115,142517,CBOW,25,4,3,0
116,142517,CBOW,10,3,4,0
117,142517,CBOW,26,1,1,1
118,142517,CBOW,15,3,4,0
119,142517,CBOW,28,2,3,0
120,142517,CBOW,40,3,3,1
121,142517,CBOW,24,4,3,0
122,142517,CBOW,18,4,3,0
123,142517,CBOW,26,4,1,0
124,142517,CBOW,6,2,1,0
125,142517,CBOW,21,3,3,1
126,142517,CBOW,19,3,3,1
127,142517,CBOW,34,4,4,1
128,142517,CBOW,15,3,3,1
129,142517,CBOW,19,3,0,0
130,142517,CBOW,12,1,3,0
131,142517,CBOW,7,4,3,0
132,142517,CBOW,9,4,3,0
133,142517,CBOW,9,3,3,1
134,142517,CBOW,16,4,3,0
135,142517,CBOW,10,3,3,1
136,142517,CBOW,17,4,1,0
137,142517,CBOW,27,3,0,0
138,142517,CBOW,24,3,3,1
139,142517,CBOW,19,4,3,0
140,142517,CBOW,31,3,3,1
141,142517,CBOW,10,1,2,0
142,142517,CBOW,29,3,3,1
143,142517,CBOW,34,3,3,1
144,142517,CBOW,17,3,3,1
145,142517,CBOW,15,3,4,0
146,142517,CBOW,21,4,3,0
147,142517,CBOW,32,4,3,0
148,142517,CBOW,20,3,4,0
149,142517,CBOW,16,3,3,1
150,142517,CBOW,18,3,2,0
151,142517,CBOW,25,3,3,1
152,142517,CBOW,7,3,3,1
153,142517,CBOW,28,1,3,0
154,142517,CBOW,33,4,3,0
155,142517,CBOW,20,4,3,0
156,142517,CBOW,18,4,4,1
157,142517,CBOW,17,1,1,1
158,142517,CBOW,19,4,4,1
159,142517,CBOW,56,3,2,0
160,142517,CBOW,20,3,3,1
161,142517,CBOW,5,3,3,1
162,142517,CBOW,41,3,3,1
163,142517,CBOW,39,3,3,1
164,142517,CBOW,13,4,4,1
165,142517,CBOW,19,3,3,1
166,142517,CBOW,28,2,3,0
167,142517,CBOW,23,3,3,1
168,142517,CBOW,17,3,3,1
169,142517,CBOW,17,3,4,0
170,142517,CBOW,15,3,4,0
171,142517,CBOW,23,2,3,0
172,142517,CBOW,19,4,1,0
